Time,Sound,Light
12:17:42,977,0
12:17:43,977,561
12:17:44,977,561
12:17:45,977,560
12:17:46,975,560
12:17:47,975,559
12:17:48,979,559
12:17:49,979,559
12:17:50,978,559
12:17:51,978,561
12:17:52,977,561
12:17:53,977,560
12:17:54,978,560
12:17:56,978,560
12:17:57,976,560
12:17:58,976,561
12:17:59,977,561
12:18:00,977,558
12:18:01,986,558
12:18:02,986,558
12:18:03,976,558
12:18:04,976,560
12:18:05,974,560
12:18:06,974,561
12:18:07,989,561
12:18:08,989,558
12:18:09,976,558
12:18:10,976,559
12:18:11,974,559
12:18:12,974,561
12:18:13,989,561
12:18:14,989,560
12:18:15,982,560
12:18:16,982,561
12:18:17,976,561
12:18:18,976,561
12:18:19,989,561
12:18:20,989,559
12:18:21,981,559
12:18:22,981,561
12:18:23,977,561
12:18:24,977,560
12:18:25,982,560
12:18:26,982,560
12:18:27,978,560
12:18:28,978,559
12:18:29,970,559
12:18:30,970,558
12:18:31,979,558
12:18:32,979,560
12:18:33,977,560
12:18:34,977,557
12:18:35,977,557
12:18:36,977,561
12:18:37,977,561
12:18:38,977,559
12:18:39,980,559
12:18:40,980,559
12:18:41,976,559
12:18:42,976,560
12:18:43,976,560
12:18:44,976,559
12:18:45,985,559
12:18:46,985,559
12:18:47,976,559
12:18:48,976,561
12:18:49,976,561
12:18:50,976,561
12:18:51,988,561
12:18:52,988,558
12:18:53,976,558
12:18:54,976,561
12:18:55,975,561
12:18:56,975,560
12:18:57,989,560
12:18:58,989,561
12:18:59,977,561
12:19:00,977,559
12:19:01,974,559
12:19:02,974,559
12:19:03,989,559
12:19:04,989,560
12:19:06,980,560
12:19:07,980,559
12:19:08,976,559
12:19:09,976,561
12:19:10,989,561
12:19:11,989,560
12:19:12,981,560
12:19:13,981,562
12:19:14,977,562
12:19:15,977,560
12:19:16,989,560
12:19:17,989,559
12:19:18,979,559
12:19:19,979,558
12:19:20,978,558
12:19:21,978,559
12:19:22,981,559
12:19:23,981,560
12:19:24,966,560
12:19:25,966,561
12:19:26,970,561
12:19:27,970,561
12:19:28,979,561
12:19:29,979,558
12:19:30,977,558
12:19:31,977,560
12:19:32,977,560
12:19:33,977,561
12:19:34,977,561
12:19:35,977,557
12:19:36,982,557
12:19:37,982,557
12:19:38,975,557
12:19:39,975,560
12:19:40,977,560
12:19:41,977,560
12:19:42,988,560
12:19:43,988,560
12:19:44,976,560
12:19:45,976,561
12:19:46,976,561
12:19:47,976,557
12:19:48,988,557
12:19:49,988,562
12:19:50,975,562
12:19:51,975,561
12:19:52,976,561
12:19:53,976,561
12:19:54,989,561
12:19:55,989,558
12:19:56,980,558
12:19:57,980,562
12:19:58,976,562
12:19:59,976,561
12:20:00,990,561
12:20:01,990,560
12:20:02,977,560
12:20:03,977,561
12:20:04,976,561
12:20:05,976,559
12:20:06,990,559
12:20:07,990,560
12:20:08,978,560
12:20:09,978,553
12:20:10,977,553
12:20:11,977,562
12:20:13,981,562
12:20:14,981,559
12:20:15,977,559
12:20:16,977,562
12:20:17,977,562
12:20:18,977,560
12:20:19,973,560
12:20:20,973,558
12:20:21,975,558
12:20:22,975,559
12:20:23,975,559
12:20:24,975,558
12:20:25,976,558
12:20:26,976,560
12:20:27,980,560
12:20:28,980,560
12:20:29,976,560
12:20:30,976,561
12:20:31,977,561
12:20:32,977,557
12:20:33,984,557
12:20:34,984,558
12:20:35,975,558
12:20:36,975,560
12:20:37,978,560
12:20:38,978,562
12:20:39,986,562
12:20:40,986,560
12:20:41,974,560
12:20:42,974,561
12:20:43,974,561
12:20:44,974,559
12:20:45,988,559
12:20:46,988,560
12:20:47,977,560
12:20:48,977,563
12:20:49,966,563
12:20:50,966,560
12:20:51,991,560
12:20:52,991,558
12:20:53,980,558
12:20:54,980,559
12:20:55,977,559
12:20:56,977,559
12:20:57,990,559
12:20:58,990,559
12:20:59,982,559
12:21:00,982,561
12:21:01,977,561
12:21:02,977,558
12:21:03,989,558
12:21:04,989,558
12:21:05,979,558
12:21:06,979,561
12:21:07,983,561
12:21:08,983,561
12:21:10,984,561
12:21:11,984,559
12:21:12,979,559
12:21:13,979,561
12:21:14,979,561
12:21:15,979,557
12:21:16,981,557
12:21:17,981,559
12:21:18,981,559
12:21:19,981,558
12:21:20,978,558
12:21:21,978,559
12:21:22,978,559
12:21:23,978,559
12:21:24,981,559
12:21:25,981,558
12:21:26,977,558
12:21:27,977,559
12:21:28,978,559
12:21:29,978,556
12:21:30,985,556
12:21:31,985,561
12:21:32,976,561
12:21:33,976,559
12:21:34,977,559
12:21:35,977,559
12:21:36,987,559
12:21:37,987,560
12:21:38,976,560
12:21:39,976,560
12:21:40,976,560
12:21:41,976,560
12:21:42,989,560
12:21:43,989,560
12:21:44,968,560
12:21:45,968,560
12:21:46,975,560
